customer_id,freq,avg_amount,max_amount,min_amount,category
CS1112,15,67.46666666666667,105,36,Medium
CS1113,20,74.5,98,36,Medium
CS1114,19,75.36842105263158,105,37,High
CS1115,22,75.4090909090909,104,41,Medium
CS1116,13,65.92307692307692,105,40,Medium
CS1117,17,69.70588235294117,100,35,Medium
CS1118,15,67.4,101,41,Medium
CS1119,15,77.2,102,35,Medium
CS1120,24,69.875,105,41,High
CS1121,26,58.61538461538461,104,35,Medium
CS1122,16,72.25,104,35,Medium
CS1123,19,70.05263157894737,103,37,Medium
CS1124,18,62.611111111111114,95,35,Low
CS1125,12,73.75,104,38,Medium
CS1126,19,61.31578947368421,95,36,Low
CS1127,24,69.83333333333333,99,36,Medium
CS1128,26,73.88461538461539,105,38,High
CS1129,12,71.08333333333333,104,41,Medium
CS1130,19,62.36842105263158,97,35,Low
CS1131,14,71.28571428571429,95,35,Low
CS1132,16,67.125,103,40,Medium
CS1133,19,74.36842105263158,105,35,High
CS1134,16,72.875,101,35,Medium
CS1135,20,63.35,98,37,Medium
CS1136,20,66.95,105,36,Medium
CS1137,20,69.0,100,35,Medium
CS1138,24,77.625,105,52,High
CS1139,18,69.16666666666667,104,37,Medium
CS1140,20,71.7,102,36,Medium
CS1141,25,71.12,105,37,High
CS1142,22,83.95454545454545,104,48,Medium
CS1143,16,78.4375,99,36,Medium
CS1144,18,67.88888888888889,104,37,Medium
CS1145,27,72.85185185185185,105,35,High
CS1146,16,69.8125,102,39,Medium
CS1147,15,66.93333333333334,95,42,Low
CS1148,25,69.32,105,35,High
CS1149,25,70.72,103,39,Medium
CS1150,14,76.78571428571429,102,48,Medium
CS1151,16,65.0,104,36,Medium
CS1152,20,72.85,105,39,High
CS1153,18,70.77777777777777,104,40,Medium
CS1154,23,62.43478260869565,105,37,Medium
CS1155,19,69.3157894736842,97,38,Medium
CS1156,20,72.25,103,38,Medium
CS1157,21,67.95238095238095,104,35,Medium
CS1158,18,64.38888888888889,102,37,Medium
CS1159,22,65.4090909090909,104,39,Medium
CS1160,20,69.0,98,38,Medium
CS1161,22,63.13636363636363,103,36,Medium
CS1162,24,75.625,105,35,High
CS1163,18,71.66666666666667,102,38,Medium
CS1164,26,78.34615384615384,101,37,High
CS1165,20,66.75,105,41,Medium
CS1166,19,79.3157894736842,104,35,Medium
CS1167,16,70.75,100,41,Medium
CS1168,14,65.42857142857143,92,37,Low
CS1169,18,65.27777777777777,104,36,Medium
CS1170,18,70.66666666666667,95,35,Medium
CS1171,22,70.68181818181819,104,36,Medium
CS1172,18,72.55555555555556,100,36,Medium
CS1173,21,68.04761904761905,102,35,Medium
CS1174,23,67.56521739130434,96,38,Medium
CS1175,17,65.05882352941177,96,35,Medium
CS1176,18,77.83333333333333,103,46,Medium
CS1177,17,77.05882352941177,105,48,High
CS1178,22,69.77272727272727,98,40,Medium
CS1179,29,72.10344827586206,105,40,High
CS1180,23,71.17391304347827,104,36,Medium
CS1181,27,70.11111111111111,103,37,Medium
CS1182,24,72.875,105,39,High
CS1183,26,75.65384615384616,104,37,High
CS1184,28,71.39285714285714,104,36,Medium
CS1185,27,66.70370370370371,104,35,Medium
CS1186,19,75.73684210526316,105,41,High
CS1187,22,70.86363636363636,105,41,Medium
CS1188,16,63.125,105,35,Medium
CS1189,23,68.0,104,36,Medium
CS1190,18,73.55555555555556,101,40,Medium
CS1191,21,72.47619047619048,103,36,Medium
CS1192,18,72.94444444444444,105,35,High
CS1193,15,63.53333333333333,96,36,Low
CS1194,22,68.4090909090909,103,37,Medium
CS1195,20,68.9,98,35,Medium
CS1196,23,67.78260869565217,104,36,Medium
CS1197,17,69.41176470588235,99,38,Medium
CS1198,22,71.4090909090909,100,39,Medium
CS1199,20,67.2,103,35,Medium
CS1200,21,79.38095238095238,103,41,Medium
CS1201,19,72.36842105263158,105,37,High
CS1202,20,66.55,103,37,Medium
CS1203,21,73.14285714285714,105,37,High
CS1204,17,60.1764705882353,99,35,Medium
CS1205,17,64.88235294117646,105,35,Medium
CS1206,24,63.083333333333336,101,35,Medium
CS1207,18,72.77777777777777,104,39,Medium
CS1208,15,66.66666666666667,105,37,Medium
CS1209,27,67.0,97,35,Medium
CS1210,21,73.61904761904762,95,36,Medium
CS1211,18,67.66666666666667,104,38,Medium
CS1212,17,70.58823529411765,105,51,Medium
CS1213,18,66.16666666666667,98,37,Medium
CS1214,19,67.84210526315789,105,36,Medium
CS1215,35,67.48571428571428,102,35,Medium
CS1216,24,74.91666666666667,105,36,High
CS1217,20,71.55,104,38,Medium
CS1218,24,70.29166666666667,104,36,Medium
CS1219,21,68.9047619047619,100,39,Medium
CS1220,9,80.0,103,54,Medium
CS1221,19,72.21052631578948,104,39,Medium
CS1222,21,75.47619047619048,104,37,Medium
CS1223,17,76.41176470588235,105,43,High
CS1224,8,72.25,94,43,Medium
CS1225,17,58.76470588235294,94,35,Low
CS1226,18,67.38888888888889,100,35,Medium
CS1227,27,66.03703703703704,104,36,Medium
CS1228,19,72.0,104,41,Medium
CS1229,19,62.8421052631579,101,39,Medium
CS1230,20,70.75,105,37,Medium
CS1231,23,76.08695652173913,105,40,High
CS1232,20,72.6,103,39,Medium
CS1233,21,65.42857142857143,104,37,Medium
CS1234,21,64.23809523809524,100,36,Medium
CS1235,22,68.5,103,37,Medium
CS1236,22,75.81818181818181,105,40,High
CS1237,24,75.95833333333333,104,40,High
CS1238,26,69.53846153846153,103,35,Medium
CS1239,11,70.0909090909091,103,39,Medium
CS1240,30,70.86666666666666,105,36,High
CS1241,27,67.33333333333333,104,35,Medium
CS1242,13,72.53846153846153,104,43,Medium
CS1243,17,63.94117647058823,103,36,Medium
CS1244,21,71.04761904761905,105,39,Medium
CS1245,19,69.52631578947368,101,39,Medium
CS1246,20,71.55,105,36,Medium
CS1247,28,63.32142857142857,100,38,Medium
CS1248,17,68.94117647058823,98,37,Medium
CS1249,23,80.26086956521739,105,42,High
CS1250,24,67.70833333333333,96,39,Medium
CS1251,14,73.92857142857143,103,40,Medium
CS1252,18,78.38888888888889,100,37,Medium
CS1253,17,82.29411764705883,105,48,High
CS1254,21,76.14285714285714,105,38,High
CS1255,29,68.89655172413794,105,41,High
CS1256,19,68.63157894736842,100,35,Medium
CS1257,15,70.0,104,35,Medium
CS1258,22,66.27272727272727,95,37,Medium
CS1259,22,76.31818181818181,103,41,Medium
CS1260,26,74.65384615384616,105,35,High
CS1261,26,74.73076923076923,104,40,High
CS1262,16,65.0,100,42,Medium
CS1263,14,78.28571428571429,104,51,Medium
CS1264,12,79.91666666666667,104,41,Medium
CS1265,14,80.57142857142857,105,49,Medium
CS1266,15,71.73333333333333,100,44,Medium
CS1267,26,69.6923076923077,104,37,Medium
CS1268,27,72.07407407407408,103,40,High
CS1269,19,66.94736842105263,104,38,Medium
CS1270,27,73.70370370370371,104,41,High
CS1271,25,67.32,102,41,Medium
CS1272,19,67.3157894736842,94,36,Medium
CS1273,25,72.0,101,41,Medium
CS1274,20,69.05,103,38,Medium
CS1275,18,73.38888888888889,104,36,Medium
CS1276,21,71.66666666666667,104,37,Medium
CS1277,17,67.17647058823529,101,40,Medium
CS1278,22,71.45454545454545,103,37,Medium
CS1279,21,67.19047619047619,102,35,Medium
CS1280,21,60.095238095238095,104,35,Medium
CS1281,23,74.56521739130434,104,35,High
CS1282,15,67.6,101,37,Medium
CS1283,22,76.5,105,39,High
CS1284,24,76.5,104,35,High
CS1285,24,74.08333333333333,104,35,High
CS1286,21,71.95238095238095,105,35,Medium
CS1287,20,72.0,104,39,Medium
CS1288,17,66.17647058823529,92,44,Medium
CS1289,19,71.3157894736842,102,37,Medium
CS1290,20,81.25,105,35,High
CS1291,15,67.06666666666666,97,35,Low
CS1292,18,72.61111111111111,98,35,Medium
CS1293,21,77.38095238095238,105,36,High
CS1294,30,70.96666666666667,105,35,High
CS1295,22,67.5909090909091,101,36,Medium
CS1296,21,71.66666666666667,105,36,Medium
CS1297,12,63.75,105,38,Medium
CS1298,21,74.33333333333333,102,40,Medium
CS1299,21,73.9047619047619,105,37,High
CS1300,18,72.72222222222223,99,38,Medium
CS1301,19,65.78947368421052,97,35,Medium
CS1302,19,67.26315789473684,102,38,Medium
CS1303,22,74.27272727272727,104,40,Medium
CS1304,15,58.266666666666666,95,36,Low
CS1305,16,64.4375,101,41,Medium
CS1306,15,76.86666666666666,100,40,Medium
CS1307,18,67.77777777777777,101,36,Medium
CS1308,21,70.80952380952381,104,36,Medium
CS1309,12,63.416666666666664,105,35,Medium
CS1310,15,73.53333333333333,102,36,Medium
CS1311,18,62.72222222222222,98,35,Medium
CS1312,16,84.5625,105,45,Medium
CS1313,29,71.44827586206897,103,38,Medium
CS1314,13,68.53846153846153,98,39,Medium
CS1315,15,68.66666666666667,105,36,Medium
CS1316,26,66.38461538461539,104,36,Medium
CS1317,16,71.625,101,39,Medium
CS1318,22,76.95454545454545,104,40,Medium
CS1319,18,64.5,102,36,Medium
CS1320,18,76.77777777777777,104,51,Medium
CS1321,21,79.42857142857143,104,37,Medium
CS1322,26,75.53846153846153,105,40,High
CS1323,23,69.34782608695652,105,35,High
CS1324,24,67.125,101,35,Medium
CS1325,18,67.16666666666667,102,38,Medium
CS1326,27,71.85185185185185,102,37,Medium
CS1327,23,66.30434782608695,103,35,Medium
CS1328,15,69.53333333333333,100,47,Medium
CS1329,17,68.11764705882354,104,36,Medium
CS1330,23,76.08695652173913,103,36,High
CS1331,15,78.0,105,45,Medium
CS1332,29,69.3103448275862,105,35,High
CS1333,8,78.125,100,38,Medium
CS1334,25,71.24,105,35,High
CS1335,17,68.05882352941177,95,35,Medium
CS1336,24,70.66666666666667,101,41,Medium
CS1337,22,75.81818181818181,105,36,High
CS1338,18,79.77777777777777,105,39,High
CS1339,23,73.04347826086956,105,38,High
CS1340,20,75.3,102,39,Medium
CS1341,13,79.84615384615384,103,41,Medium
CS1342,16,82.875,105,48,Medium
CS1343,21,70.9047619047619,104,36,Medium
CS1344,25,65.52,100,38,Medium
CS1345,18,66.27777777777777,100,37,Medium
CS1346,15,71.46666666666667,105,36,Medium
CS1347,30,66.66666666666667,104,37,Medium
CS1348,22,71.95454545454545,105,39,Medium
CS1349,16,67.875,105,35,Medium
CS1350,27,73.92592592592592,98,37,High
CS1351,21,71.66666666666667,99,35,Medium
CS1352,20,71.2,102,38,Medium
CS1353,19,74.10526315789474,103,36,Medium
CS1354,16,82.75,105,46,Medium
CS1355,23,65.52173913043478,105,39,High
CS1356,24,72.5,101,38,High
CS1357,26,68.26923076923077,103,39,Medium
CS1358,19,74.10526315789474,105,39,High
CS1359,16,71.5625,92,45,Low
CS1360,18,71.22222222222223,104,38,Medium
CS1361,19,77.36842105263158,103,43,Medium
CS1362,23,74.04347826086956,102,36,High
CS1363,24,68.0,105,36,High
CS1364,27,69.03703703703704,105,42,High
CS1365,19,64.47368421052632,99,37,Medium
CS1366,22,67.86363636363636,103,36,Medium
CS1367,29,74.0,103,36,High
CS1368,15,64.0,104,39,Low
CS1369,25,69.84,99,35,Medium
CS1370,26,71.6923076923077,105,36,High
CS1371,22,68.0,105,36,Medium
CS1372,19,74.3157894736842,100,45,Medium
CS1373,30,65.56666666666666,101,35,Medium
CS1374,19,71.42105263157895,98,42,Medium
CS1375,17,68.52941176470588,100,37,Medium
CS1376,25,60.48,101,35,Medium
CS1377,18,83.61111111111111,103,48,Medium
CS1378,25,66.84,103,35,Medium
CS1379,15,75.6,105,38,Medium
CS1380,26,71.42307692307692,103,38,Medium
CS1381,22,65.86363636363636,95,36,Medium
CS1382,25,73.8,101,39,High
CS1383,25,75.12,105,41,High
CS1384,17,56.705882352941174,92,35,Low
CS1385,22,67.18181818181819,104,38,Medium
CS1386,14,71.28571428571429,98,36,Medium
CS1387,18,68.77777777777777,105,38,Medium
CS1388,19,67.10526315789474,103,38,Medium
CS1389,18,66.05555555555556,96,37,Medium
CS1390,19,63.68421052631579,99,37,Medium
CS1391,25,63.36,103,38,Medium
CS1392,17,72.17647058823529,102,36,Medium
CS1393,19,75.63157894736842,105,39,High
CS1394,28,73.07142857142857,104,37,High
CS1395,22,77.45454545454545,104,44,Medium
CS1396,25,74.08,105,39,High
CS1397,30,71.86666666666666,104,36,Medium
CS1398,20,67.7,101,36,Medium
CS1399,26,70.46153846153847,104,35,Medium
CS1400,18,66.27777777777777,104,35,Medium
CS1401,30,67.43333333333334,103,38,Medium
CS1402,22,75.45454545454545,103,35,Medium
CS1403,22,75.0909090909091,101,37,Medium
CS1404,28,67.85714285714286,104,38,Medium
CS1405,26,74.73076923076923,105,38,High
CS1406,27,68.22222222222223,103,40,Medium
CS1407,28,68.42857142857143,100,38,Medium
CS1408,17,71.41176470588235,103,38,Medium
CS1409,24,61.0,96,36,Medium
CS1410,15,77.33333333333333,104,38,Medium
CS1411,17,71.88235294117646,104,35,Medium
CS1412,22,72.68181818181819,100,35,Medium
CS1413,19,73.47368421052632,99,35,Medium
